,GBP 1y
2023-07-19,579.379
2023-07-20,585.65
2023-07-21,584.5600000000001
2023-07-24,581.7
2023-07-25,582.65
2023-07-26,589.29
2023-07-27,583.93
2023-07-28,579.6700000000001
2023-07-31,581.172
2023-08-01,583.49
2023-08-02,577.4200000000001
2023-08-03,571.85
2023-08-04,572.15
2023-08-07,572.5500000000001
2023-08-08,571.99
2023-08-09,570.83
2023-08-10,568.67
2023-08-11,575.75
2023-08-14,581.381
2023-08-15,590.71
2023-08-16,594.8100000000001
2023-08-17,602.4499999999999
2023-08-18,594.6500000000001
2023-08-21,599.3629999999999
2023-08-22,596.11
2023-08-23,582.65
2023-08-24,583.23
2023-08-25,585.24
2023-08-29,581.03
2023-08-30,582.35
2023-08-31,574.26
2023-09-01,572.6899999999999
2023-09-04,574.6279999999999
2023-09-05,577.385
2023-09-06,575.5600000000001
2023-09-07,567.7570000000001
2023-09-08,563.441
2023-09-11,565.4499999999999
2023-09-12,565.17
2023-09-13,561.783
2023-09-14,559.92
2023-09-15,563.35
2023-09-18,564.0699999999999
2023-09-19,561.492
2023-09-20,547.68
2023-09-21,544.377
2023-09-22,539.77
2023-09-25,539.5400000000001
2023-09-26,542.711
2023-09-27,545.99
2023-09-28,547.24
2023-09-29,543.87
2023-10-02,545.4399999999999
2023-10-03,545.25
2023-10-04,544.16
2023-10-05,540.78
2023-10-06,542.15
2023-10-09,539.02
2023-10-10,538.249
2023-10-11,537.531
2023-10-12,538.9599999999999
2023-10-13,539.18
2023-10-16,542.6809999999999
2023-10-17,539.89
2023-10-18,544.775
2023-10-19,542.741
2023-10-20,537.53
2023-10-23,535.96
2023-10-24,531.804
2023-10-25,533.15
2023-10-26,530.14
2023-10-27,529.9699999999999
2023-10-30,528.23
2023-10-31,529.36
2023-11-01,529.725
2023-11-02,527.44
2023-11-03,524.02
2023-11-06,525.2860000000001
2023-11-07,519.25
2023-11-08,521.84
2023-11-09,520.4449999999999
2023-11-10,521.91
2023-11-13,521.5600000000001
2023-11-14,515.89
2023-11-15,515.8000000000001
2023-11-16,513.76
2023-11-17,513.21
2023-11-20,513.21
2023-11-21,515.563
2023-11-22,519.484
2023-11-23,523.85
2023-11-24,525.21
2023-11-27,520.6819999999999
2023-11-28,517.82
2023-11-29,514.75
2023-11-30,516.89
2023-12-01,511.55099999999993
2023-12-04,513.59
2023-12-05,507.5
2023-12-06,506.88000000000005
2023-12-07,507.203
2023-12-08,509.64
2023-12-11,512.055
2023-12-12,505.56
2023-12-13,498.15
2023-12-14,494.68300000000005
2023-12-15,495.02
2023-12-18,492.8
2023-12-19,493.57
2023-12-20,478.66999999999996
2023-12-21,479.388
2023-12-22,476.93
2023-12-27,473.446
2023-12-28,471.61999999999995
2023-12-29,472.65
2024-01-02,474.55999999999995
2024-01-03,475.03900000000004
2024-01-04,480.97
2024-01-05,484.44000000000005
2024-01-08,482.74
2024-01-09,483.52000000000004
2024-01-10,485.24
2024-01-11,482.625
2024-01-12,475.53000000000003
2024-01-15,474.27400000000006
2024-01-16,475.92999999999995
2024-01-17,490.38700000000006
2024-01-18,487.015
2024-01-19,488.69
2024-01-22,486.95500000000004
2024-01-23,491.27
2024-01-24,493.398
2024-01-25,490.27000000000004
2024-01-26,487.88
2024-01-29,483.84000000000003
2024-01-30,487.596
2024-01-31,479.75000000000006
2024-02-01,482.64
2024-02-02,490.82800000000003
2024-02-05,496.33000000000004
2024-02-06,494.135
2024-02-07,495.13
2024-02-08,497.30999999999995
2024-02-09,499.596
