Curr,Trade Time,Effective Date,Expiration Date,Rate 1,DV01
EUR,07/11/2024 13:22:02,2024-12-18,2025-02-05,3.262,"9,713.9093 "
EUR,07/11/2024 13:18:11,2024-12-18,2025-02-05,3.262,"25,115.3345 "
EUR,07/11/2024 12:27:54,2024-12-18,2025-02-05,3.26,"25,115.5294 "
EUR,07/11/2024 11:33:17,2024-12-18,2025-02-05,3.258,"25,115.2319 "
EUR,07/11/2024 11:33:17,2024-12-18,2025-02-05,3.258,"25,115.3255 "
EUR,07/11/2024 13:23:43,2024-10-23,2024-12-18,3.418,"24,025.8352 "
EUR,07/11/2024 13:19:18,2024-10-23,2024-12-18,3.42,"9,760.6462 "
EUR,07/11/2024 13:18:29,2024-10-23,2024-12-18,3.42,"29,118.8457 "
EUR,07/11/2024 12:52:10,2024-10-23,2024-12-18,3.417,"24,025.9077 "
EUR,07/11/2024 12:39:54,2024-10-23,2024-12-18,3.417,"29,118.4721 "
EUR,07/11/2024 12:12:23,2024-10-23,2024-12-18,3.417,"29,118.69 "
EUR,07/11/2024 11:33:31,2024-10-23,2024-12-18,3.415,"29,118.3475 "
EUR,07/11/2024 11:33:24,2024-10-23,2024-12-18,3.415,"29,118.7313 "
EUR,07/11/2024 11:24:45,2024-07-24,2024-09-18,3.6643,"7,708.6916 "
EUR,07/11/2024 10:57:54,2024-10-23,2024-12-18,3.416,"3,453.7781 "
EUR,07/11/2024 09:55:15,2024-07-24,2024-09-18,3.663,"29,896.3627 "
EUR,07/11/2024 09:00:30,2024-07-24,2024-09-18,3.664,"23,125.9706 "
EUR,07/11/2024 08:48:24,2024-07-24,2024-09-18,3.664,"20,042.5079 "
EUR,07/11/2024 07:56:41,2024-07-24,2024-09-18,3.6633,"6,475.2795 "
