Curr,Trade Time,Effective Date,Expiration Date,Rate 1,DV01
USD,07/11/2024 13:33:35,2024-07-31,2024-09-18,5.327,"12,735.5253 "
USD,07/11/2024 11:34:18,2024-07-31,2024-09-18,5.261,"25,467.2279 "
USD,07/11/2024 11:34:18,2024-07-31,2024-09-18,5.3103,"25,469.7034 "
USD,07/11/2024 11:32:44,2024-07-31,2024-09-18,5.336,"25,471.0329 "
USD,07/11/2024 10:32:32,2024-07-31,2024-09-18,5.33,"28,151.8242 "
USD,07/11/2024 10:21:24,2024-07-31,2024-09-18,5.3392,"10,054.4079 "
USD,07/11/2024 10:21:24,2024-07-31,2024-09-18,5.3353,"10,054.331 "
USD,07/11/2024 10:21:24,2024-07-31,2024-09-18,5.3348,"10,054.3211 "
USD,07/11/2024 10:21:24,2024-07-31,2024-09-18,5.3333,"10,054.2915 "
USD,07/11/2024 13:36:14,2024-09-18,2024-11-07,5.1135,"20,079.9736 "
USD,07/11/2024 13:34:50,2024-09-18,2024-11-07,5.1299,"4,953.1471 "
USD,07/11/2024 13:26:03,2024-09-18,2024-11-07,5.1655,"28,116.574 "
USD,07/11/2024 13:09:01,2024-09-18,2024-11-07,5.15,"24,091.3021 "
USD,07/11/2024 12:53:39,2024-09-18,2024-11-07,5.1638,"28,106.4701 "
USD,07/11/2024 12:49:45,2024-09-18,2024-11-07,5.15,"24,091.1694 "
USD,07/11/2024 12:21:16,2024-09-18,2024-11-07,5.163,"20,077.257 "
USD,07/11/2024 12:20:45,2024-09-18,2024-11-07,5.1615,"10,038.5563 "
USD,07/11/2024 11:32:44,2024-09-18,2024-11-07,5.1525,"24,091.8861 "
USD,07/11/2024 11:21:52,2024-09-18,2024-11-07,5.163,"28,108.4207 "
USD,07/11/2024 10:38:08,2024-09-18,2024-11-07,5.211,"28,121.9236 "
USD,07/11/2024 10:32:32,2024-09-18,2024-11-07,5.156,"28,107.5381 "
USD,07/11/2024 10:14:38,2024-09-18,2024-11-07,5.161,"16,061.8022 "
USD,07/11/2024 09:54:01,2024-09-18,2024-11-07,5.1745,"28,109.0902 "
USD,07/11/2024 08:23:22,2024-09-18,2024-11-07,5.1573,"10,038.4547 "
USD,07/11/2024 04:38:31,2024-09-18,2024-11-07,5.1671,"1,338.4895 "
