Curr,Trade Time,Effective Date,Expiration Date,Rate 1,DV01
GBP,07/11/2024 13:40:13,2024-08-01,2024-09-19,5.0717,"1,982.4073 "
GBP,07/11/2024 13:35:20,2024-08-01,2024-09-19,5.0672,"11,894.3099 "
GBP,07/11/2024 12:51:43,2024-09-19,2024-11-07,5.0037,"15,541.2922 "
GBP,07/11/2024 12:51:43,2024-08-01,2024-09-19,5.09,"7,929.34 "
GBP,07/11/2024 12:15:53,2024-08-01,2024-09-19,5.057,"9,911.1211 "
GBP,07/11/2024 11:36:17,2024-09-19,2024-11-07,5.01,"21,170.8872 "
GBP,07/11/2024 11:36:17,2024-08-01,2024-09-19,5.0948,"21,602.7631 "
GBP,07/11/2024 11:36:17,2024-09-19,2024-11-07,4.9976,"21,170.0288 "
GBP,07/11/2024 11:36:17,2024-08-01,2024-09-19,5.0846,"21,602.3442 "
GBP,07/11/2024 11:36:17,2024-08-01,2024-09-19,5.059,"21,601.2877 "
GBP,07/11/2024 11:36:17,2024-09-19,2024-11-07,5.0147,"21,171.2126 "
GBP,07/11/2024 11:36:17,2024-08-01,2024-09-19,5.0954,"21,602.7899 "
GBP,07/11/2024 11:36:17,2024-09-19,2024-11-07,4.978,"21,168.672 "
GBP,07/11/2024 10:28:03,2024-08-01,2024-09-19,5.054,"21,601.1194 "
GBP,07/11/2024 10:28:03,2024-08-01,2024-09-19,5.054,"21,601.0791 "
GBP,07/11/2024 10:21:34,2024-09-19,2024-11-07,5.0215,"11,656.8757 "
GBP,07/11/2024 10:21:34,2024-09-19,2024-11-07,5.0,"11,655.9932 "
GBP,07/11/2024 10:17:33,2024-08-01,2024-09-19,5.085,"21,602.393 "
GBP,07/11/2024 09:27:00,2024-08-01,2024-09-19,5.0625,"19,822.3508 "
GBP,07/11/2024 09:24:31,2024-08-01,2024-09-19,5.049,"19,821.9825 "
GBP,07/11/2024 09:23:48,2024-08-01,2024-09-19,5.087,"21,602.4003 "
GBP,07/11/2024 09:22:52,2024-08-01,2024-09-19,5.1035,"19,824.0491 "
GBP,07/11/2024 09:16:31,2024-08-01,2024-09-19,5.0922,"21,602.5644 "
GBP,07/11/2024 08:58:22,2024-09-19,2024-11-07,4.984,"21,169.4879 "
GBP,07/11/2024 08:49:26,2024-08-01,2024-09-19,5.0877,"1,982.344 "
GBP,07/11/2024 08:40:58,2024-09-19,2024-11-07,4.981,"21,169.5349 "
GBP,07/11/2024 07:58:51,2024-08-01,2024-09-19,5.0782,"1,982.384 "
GBP,07/11/2024 07:50:09,2024-08-01,2024-09-19,5.079,"6,607.961 "
