Curr,Trade Time,Effective Date,Expiration Date,Rate 1,DV01
GBP,07/11/2024 13:40:13,08/01/2024,09/19/2024,5.0717 ,"1,982.4073 "
AUD,07/11/2024 13:36:15,08/07/2024,09/25/2024,4.4175 ,"9,912.644 "
GBP,07/11/2024 13:35:20,08/01/2024,09/19/2024,5.0672 ,"11,894.3099 "
USD,07/11/2024 13:33:35,07/31/2024,09/18/2024,5.327 ,"12,735.5253 "
EUR,07/11/2024 13:22:02,12/18/2024,02/05/2025,3.262 ,"9,713.9093 "
EUR,07/11/2024 13:18:11,12/18/2024,02/05/2025,3.262 ,"25,115.3345 "
GBP,07/11/2024 12:51:43,09/19/2024,11/07/2024,5.0037 ,"15,541.2922 "
GBP,07/11/2024 12:51:43,08/01/2024,09/19/2024,5.09 ,"7,929.34 "
NZD,07/11/2024 12:28:57,02/20/2025,04/10/2025,4.535 ,"9,177.0746 "
EUR,07/11/2024 12:27:54,12/18/2024,02/05/2025,3.26 ,"25,115.5294 "
GBP,07/11/2024 12:15:53,08/01/2024,09/19/2024,5.057 ,"9,911.1211 "
AUD,07/11/2024 11:59:36,08/07/2024,09/25/2024,4.4175 ,"11,359.6546 "
NZD,07/11/2024 11:39:51,02/20/2025,04/10/2025,4.535 ,"11,671.6115 "
GBP,07/11/2024 11:36:17,09/19/2024,11/07/2024,5.01 ,"21,170.8872 "
GBP,07/11/2024 11:36:17,08/01/2024,09/19/2024,5.0948 ,"21,602.7631 "
GBP,07/11/2024 11:36:17,09/19/2024,11/07/2024,4.9976 ,"21,170.0288 "
GBP,07/11/2024 11:36:17,08/01/2024,09/19/2024,5.0846 ,"21,602.3442 "
GBP,07/11/2024 11:36:17,08/01/2024,09/19/2024,5.059 ,"21,601.2877 "
GBP,07/11/2024 11:36:17,09/19/2024,11/07/2024,5.0147 ,"21,171.2126 "
GBP,07/11/2024 11:36:17,08/01/2024,09/19/2024,5.0954 ,"21,602.7899 "
GBP,07/11/2024 11:36:17,09/19/2024,11/07/2024,4.978 ,"21,168.672 "
USD,07/11/2024 11:34:18,07/31/2024,09/18/2024,5.261 ,"25,467.2279 "
USD,07/11/2024 11:34:18,07/31/2024,09/18/2024,5.3103 ,"25,469.7034 "
EUR,07/11/2024 11:33:17,12/18/2024,02/05/2025,3.258 ,"25,115.2319 "
EUR,07/11/2024 11:33:17,12/18/2024,02/05/2025,3.258 ,"25,115.3255 "
USD,07/11/2024 11:32:44,07/31/2024,09/18/2024,5.336 ,"25,471.0329 "
NZD,07/11/2024 10:49:43,02/20/2025,04/10/2025,4.535 ,"11,671.6115 "
NZD,07/11/2024 10:46:59,02/20/2025,04/10/2025,5.15 ,"11,727.0273 "
USD,07/11/2024 10:32:32,07/31/2024,09/18/2024,5.33 ,"28,151.8242 "
GBP,07/11/2024 10:28:03,08/01/2024,09/19/2024,5.054 ,"21,601.1194 "
GBP,07/11/2024 10:28:03,08/01/2024,09/19/2024,5.054 ,"21,601.0791 "
GBP,07/11/2024 10:21:34,09/19/2024,11/07/2024,5.0215 ,"11,656.8757 "
GBP,07/11/2024 10:21:34,09/19/2024,11/07/2024,5.00 ,"11,655.9932 "
USD,07/11/2024 10:21:24,07/31/2024,09/18/2024,5.3392 ,"10,054.4079 "
