Date,2-Year,5-Year,10-Year,30-Year,,Date,2-Year,5-Year,10-Year,30-Year
17/03/2015,109.6,119.7,127.1,145.72,,17/03/2015,109.6,119.7,127.1,145.72
18/03/2015,109.8,119.7,127.6,145.69,,18/03/2015,109.8,119.7,127.6,145.69
19/03/2015,109.7,119.8,127.6,145.69,,19/03/2015,109.7,119.8,127.6,145.69
20/03/2015,109.8,119.8,127.8,145.84,,20/03/2015,109.8,119.8,127.8,145.84
23/03/2015,109.8,120.6,127.8,146.66,,23/03/2015,109.8,120.6,127.8,146.66
24/03/2015,109.8,120.3,127.8,148.16,,24/03/2015,109.8,120.3,127.8,148.16
25/03/2015,109.8,120.6,128.1,147.97,,25/03/2015,109.8,120.6,128.1,147.97
26/03/2015,109.8,120.7,129.2,148.59,,26/03/2015,109.8,120.7,129.2,148.59
27/03/2015,109.9,120.8,128.8,164.03,,27/03/2015,109.9,120.8,128.8,164.03
30/03/2015,109.8,120.7,129.2,165.25,,30/03/2015,109.8,120.7,129.2,165.25
31/03/2015,109.9,120.4,128.8,164.53,,31/03/2015,109.9,120.4,128.8,164.53
01/04/2015,109.6,120.7,129.1,162.41,,01/04/2015,109.6,120.7,129.1,162.41
02/04/2015,109.6,120.6,128.8,164.41,,02/04/2015,109.6,120.6,128.8,164.41
03/04/2015,109.7,120.9,128.2,163.47,,03/04/2015,109.7,120.9,128.2,163.47
06/04/2015,109.7,120.4,128.7,163.88,,06/04/2015,109.7,120.4,128.7,163.88
07/04/2015,109.7,120.4,128.6,165.81,,07/04/2015,109.7,120.4,128.6,165.81
08/04/2015,109.7,120.9,128.9,164.56,,08/04/2015,109.7,120.9,128.9,164.56
09/04/2015,109.6,120.6,129.4,165.75,,09/04/2015,109.6,120.6,129.4,165.75
10/04/2015,109.6,120.5,129.2,163.75,,10/04/2015,109.6,120.5,129.2,163.75
13/04/2015,109.6,120.5,129.9,164.62,,13/04/2015,109.6,120.5,129.9,164.62
14/04/2015,109.7,120.2,129.4,164.94,,14/04/2015,109.7,120.2,129.4,164.94
15/04/2015,109.7,120.1,129.4,163.25,,15/04/2015,109.7,120.1,129.4,163.25
16/04/2015,109.8,120.3,129.4,163.5,,16/04/2015,109.8,120.3,129.4,163.5
17/04/2015,109.7,120.5,128.8,163.47,,17/04/2015,109.7,120.5,128.8,163.47
20/04/2015,109.7,120.6,128.8,164.38,,20/04/2015,109.7,120.6,128.8,164.38
21/04/2015,109.7,120.7,129,164.09,,21/04/2015,109.7,120.7,129,164.09
22/04/2015,109.6,120.7,129.3,164.12,,22/04/2015,109.6,120.7,129.3,164.12
23/04/2015,109.7,120.6,129.4,165.47,,23/04/2015,109.7,120.6,129.4,165.47
24/04/2015,109.7,120.5,129.7,163.78,,24/04/2015,109.7,120.5,129.7,163.78
27/04/2015,109.7,120.3,129.8,163.38,,27/04/2015,109.7,120.3,129.8,163.38
28/04/2015,109.7,120.5,129.5,161.47,,28/04/2015,109.7,120.5,129.5,161.47
29/04/2015,109.7,120.6,129.4,162.03,,29/04/2015,109.7,120.6,129.4,162.03
30/04/2015,109.6,120.6,128.9,162.56,,30/04/2015,109.6,120.6,128.9,162.56
01/05/2015,109.6,120.4,129.1,162.84,,01/05/2015,109.6,120.4,129.1,162.84
04/05/2015,109.6,120.2,129.4,161.47,,04/05/2015,109.6,120.2,129.4,161.47
05/05/2015,109.6,120.1,129.3,159.88,,05/05/2015,109.6,120.1,129.3,159.88
06/05/2015,109.5,119.8,129,159.59,,06/05/2015,109.5,119.8,129,159.59
07/05/2015,109.5,119.9,128.5,157.62,,07/05/2015,109.5,119.9,128.5,157.62
08/05/2015,109.7,119.7,128.4,156.78,,08/05/2015,109.7,119.7,128.4,156.78
11/05/2015,109.6,119.5,127.8,156.06,,11/05/2015,109.6,119.5,127.8,156.06
12/05/2015,109.6,119.6,127.8,154.31,,12/05/2015,109.6,119.6,127.8,154.31
13/05/2015,109.7,120,127.4,155.97,,13/05/2015,109.7,120,127.4,155.97
14/05/2015,109.8,119.5,127.1,156.22,,14/05/2015,109.8,119.5,127.1,156.22
15/05/2015,109.8,119.6,127.4,153.19,,15/05/2015,109.8,119.6,127.4,153.19
18/05/2015,109.7,119.7,127.8,153.59,,18/05/2015,109.7,119.7,127.8,153.59
19/05/2015,109.6,120,126.9,152.56,,19/05/2015,109.6,120,126.9,152.56
20/05/2015,109.7,120.2,127.1,153,,20/05/2015,109.7,120.2,127.1,153
21/05/2015,109.7,119.9,127,155.59,,21/05/2015,109.7,119.9,127,155.59
22/05/2015,109.6,119.6,127.4,153.47,,22/05/2015,109.6,119.6,127.4,153.47
24/05/2015,109.3,119.8,128,153,,24/05/2015,109.3,119.8,128,153
25/05/2015,109.3,120,127.4,152.72,,25/05/2015,109.3,120,127.4,152.72
26/05/2015,109.6,119.7,127,154.41,,26/05/2015,109.6,119.7,127,154.41
27/05/2015,109.6,119.9,127.3,153.78,,27/05/2015,109.6,119.9,127.3,153.78
28/05/2015,109.7,119.9,127.7,152.44,,28/05/2015,109.7,119.9,127.7,152.44
29/05/2015,109.7,120.1,127.3,152.82,,29/05/2015,109.7,120.1,127.3,152.82
01/06/2015,109.7,120.3,127.9,156.22,,01/06/2015,109.7,120.3,127.9,156.22
02/06/2015,109.6,119.8,127.9,156.56,,02/06/2015,109.6,119.8,127.9,156.56
03/06/2015,109.6,119.6,128,156.34,,03/06/2015,109.6,119.6,128,156.34
04/06/2015,109.6,119.3,128.3,157.19,,04/06/2015,109.6,119.3,128.3,157.19
05/06/2015,109.5,119.5,127.6,154.97,,05/06/2015,109.5,119.5,127.6,154.97
08/06/2015,109.6,119.1,127,153.31,,08/06/2015,109.6,119.1,127,153.31
09/06/2015,109.5,119.3,126.3,151.25,,09/06/2015,109.5,119.3,126.3,151.25
10/06/2015,109.5,119.2,126.7,152.91,,10/06/2015,109.5,119.2,126.7,152.91
11/06/2015,109.5,119,125.9,151.25,,11/06/2015,109.5,119,125.9,151.25
12/06/2015,109.5,119.2,126.1,151.56,,12/06/2015,109.5,119.2,126.1,151.56
15/06/2015,109.6,119.2,125.9,150.66,,15/06/2015,109.6,119.2,125.9,150.66
16/06/2015,109.6,119.4,125.5,149.47,,16/06/2015,109.6,119.4,125.5,149.47
17/06/2015,109.7,119.5,126.1,151.88,,17/06/2015,109.7,119.5,126.1,151.88
18/06/2015,109.7,119.8,126.1,152,,18/06/2015,109.7,119.8,126.1,152
19/06/2015,109.8,119.7,126.4,152.12,,19/06/2015,109.8,119.7,126.4,152.12
22/06/2015,109.4,120,126.6,152.94,,22/06/2015,109.4,120,126.6,152.94
23/06/2015,109.3,119.7,126.9,152.56,,23/06/2015,109.3,119.7,126.9,152.56
24/06/2015,109.7,119.5,126.6,151.25,,24/06/2015,109.7,119.5,126.6,151.25
25/06/2015,109.7,119.6,127.3,153.59,,25/06/2015,109.7,119.6,127.3,153.59
26/06/2015,109.6,119.6,125.8,149.72,,26/06/2015,109.6,119.6,125.8,149.72
29/06/2015,109.8,119.3,125.5,148.81,,29/06/2015,109.8,119.3,125.5,148.81
30/06/2015,109.8,119.9,125.7,149.84,,30/06/2015,109.8,119.9,125.7,149.84
01/07/2015,109.3,119.9,125.6,149.56,,01/07/2015,109.3,119.9,125.6,149.56
02/07/2015,109.5,118.9,125,147.56,,02/07/2015,109.5,118.9,125,147.56
03/07/2015,109.5,119.2,126.2,150.91,,03/07/2015,109.5,119.2,126.2,150.91
06/07/2015,109.6,119.4,126.2,150.84,,06/07/2015,109.6,119.4,126.2,150.84
07/07/2015,109.6,119.7,125.5,148.84,,07/07/2015,109.6,119.7,125.5,148.84
08/07/2015,109.7,119.8,125.9,149.19,,08/07/2015,109.7,119.8,125.9,149.19
09/07/2015,109.6,120,126.3,150.18,,09/07/2015,109.6,120,126.3,150.18
10/07/2015,109.5,119.6,126.8,152.06,,10/07/2015,109.5,119.6,126.8,152.06
13/07/2015,109.4,119.1,127.1,153.5,,13/07/2015,109.4,119.1,127.1,153.5
14/07/2015,109.5,119,127.4,154.12,,14/07/2015,109.5,119,127.4,154.12
15/07/2015,109.5,119.2,126.7,151.59,,15/07/2015,109.5,119.2,126.7,151.59
16/07/2015,109.5,119.4,125.7,149.09,,16/07/2015,109.5,119.4,125.7,149.09
17/07/2015,109.4,119.2,125.6,149.16,,17/07/2015,109.4,119.2,125.6,149.16
20/07/2015,109.4,119.1,125.9,149.53,,20/07/2015,109.4,119.1,125.9,149.53
21/07/2015,109.4,119,126.3,150.84,,21/07/2015,109.4,119,126.3,150.84
22/07/2015,109.4,119.2,126.2,151.34,,22/07/2015,109.4,119.2,126.2,151.34
23/07/2015,109.4,119.2,126.1,152.09,,23/07/2015,109.4,119.2,126.1,152.09
24/07/2015,109.4,119.3,125.9,151.75,,24/07/2015,109.4,119.3,125.9,151.75
27/07/2015,109.5,119.4,126.2,152.31,,27/07/2015,109.5,119.4,126.2,152.31
28/07/2015,109.5,119.7,126.3,153.19,,28/07/2015,109.5,119.7,126.3,153.19
29/07/2015,109.5,119.6,126.6,154.47,,29/07/2015,109.5,119.6,126.6,154.47
30/07/2015,109.4,119.6,126.7,154.59,,30/07/2015,109.4,119.6,126.7,154.59
31/07/2015,109.5,119.5,127.2,155.19,,31/07/2015,109.5,119.5,127.2,155.19
03/08/2015,109.6,119.8,127,154.88,,03/08/2015,109.6,119.8,127,154.88
04/08/2015,109.4,120,126.8,154.38,,04/08/2015,109.4,120,126.8,154.38
05/08/2015,109.4,119.6,126.8,155.16,,05/08/2015,109.4,119.6,126.8,155.16
06/08/2015,109.4,119.3,127.4,155.94,,06/08/2015,109.4,119.3,127.4,155.94
07/08/2015,109.4,119.5,127.8,157.59,,07/08/2015,109.4,119.5,127.8,157.59
10/08/2015,109.4,119.6,127.3,156.88,,10/08/2015,109.4,119.6,127.3,156.88
11/08/2015,109.5,119.5,126.8,155.66,,11/08/2015,109.5,119.5,126.8,155.66
12/08/2015,109.6,119.9,127,156.72,,12/08/2015,109.6,119.9,127,156.72
13/08/2015,109.5,120,127.5,158.53,,13/08/2015,109.5,120,127.5,158.53
14/08/2015,109.4,119.7,127,156.78,,14/08/2015,109.4,119.7,127,156.78
17/08/2015,109.5,119.6,127.9,158.81,,17/08/2015,109.5,119.6,127.9,158.81
18/08/2015,109.5,119.8,128,158.62,,18/08/2015,109.5,119.8,128,158.62
19/08/2015,109.6,119.7,127.5,157.91,,19/08/2015,109.6,119.7,127.5,157.91
20/08/2015,109.5,120.1,127.4,158.12,,20/08/2015,109.5,120.1,127.4,158.12
21/08/2015,109.6,120.1,127.8,159.09,,21/08/2015,109.6,120.1,127.8,159.09
24/08/2015,109.8,120.4,127.5,157.72,,24/08/2015,109.8,120.4,127.5,157.72
25/08/2015,109.6,120.8,128.1,158.81,,25/08/2015,109.6,120.8,128.1,158.81
26/08/2015,109.6,120.2,128.3,160.09,,26/08/2015,109.6,120.2,128.3,160.09
27/08/2015,109.6,120.3,128.7,160.19,,27/08/2015,109.6,120.3,128.7,160.19
28/08/2015,109.5,120.2,129.2,160.91,,28/08/2015,109.5,120.2,129.2,160.91
31/08/2015,109.5,120,128.1,157.72,,31/08/2015,109.5,120,128.1,157.72
01/09/2015,109.5,119.8,127.9,156.03,,01/09/2015,109.5,119.8,127.9,156.03
02/09/2015,109.5,120,128,156.88,,02/09/2015,109.5,120,128,156.88
03/09/2015,109.6,119.9,127.8,156.72,,03/09/2015,109.6,119.9,127.8,156.72
04/09/2015,109.6,120.1,127.6,156.12,,04/09/2015,109.6,120.1,127.6,156.12
06/09/2015,109.6,120.2,127.9,156.12,,06/09/2015,109.6,120.2,127.9,156.12
07/09/2015,109.6,119.8,127.7,155.5,,07/09/2015,109.6,119.8,127.7,155.5
08/09/2015,109.5,119.7,128,155.97,,08/09/2015,109.5,119.7,128,155.97
09/09/2015,109.5,120,128.3,157.31,,09/09/2015,109.5,120,128.3,157.31
10/09/2015,109.5,120,127.6,155.57,,10/09/2015,109.5,120,127.6,155.57
11/09/2015,109.6,119.9,127.5,155.42,,11/09/2015,109.6,119.9,127.5,155.42
14/09/2015,109.5,120.1,127.8,155.44,,14/09/2015,109.5,120.1,127.8,155.44
15/09/2015,109.4,120.1,128,156.16,,15/09/2015,109.4,120.1,128,156.16
16/09/2015,109.3,119.7,127.7,155.28,,16/09/2015,109.3,119.7,127.7,155.28
17/09/2015,109.5,119.6,128.1,156.28,,17/09/2015,109.5,119.6,128.1,156.28
18/09/2015,109.6,120.2,128.1,156.44,,18/09/2015,109.6,120.2,128.1,156.44
21/09/2015,109.5,120.5,127.3,153.88,,21/09/2015,109.5,120.5,127.3,153.88
22/09/2015,109.6,120.2,127.1,153.25,,22/09/2015,109.6,120.2,127.1,153.25
