# Entry Date,Exit Date,Entry Abs,Exit Abs,Entry Z,Exit Z,Time Held,Weight,ADF,PnL %,PnL Abs,Outcome,Exit Reason
2019-08-16,2019-09-05,88.06500,77.57600,1.33,-0.23,16,1.00,0.0023,11.911,10.48900,win,Time Stop 
2019-08-19,2019-09-06,89.39300,73.35900,1.51,-0.88,16,1.00,0.0024,17.937,16.03400,win,Time Stop 
2019-08-20,2019-09-09,86.91400,73.02000,1.08,-0.90,16,1.00,0.0019,15.986,13.89400,win,Time Stop 
2019-08-30,2019-09-19,73.67200,65.60200,-1.05,-1.72,16,1.00,0.0020,-10.954,-8.07000,loss,Time Stop 
2019-09-02,2019-09-20,66.58400,60.22700,-2.07,-2.46,16,1.00,0.0072,-9.547,-6.35700,loss,Time Stop 
2019-09-03,2019-09-23,70.58400,55.52500,-1.39,-3.08,16,1.00,0.0037,-21.335,-15.05900,loss,Time Stop 
2019-09-04,2019-09-24,72.20800,56.21700,-1.10,-2.87,16,1.00,0.0033,-22.146,-15.99100,loss,Time Stop 
2019-09-13,2019-10-03,69.63100,36.84600,-1.42,-5.22,16,1.00,0.0046,-47.084,-32.78500,loss,Time Stop 
2019-09-16,2019-10-04,66.86200,42.38100,-1.82,-4.18,16,1.00,0.0084,-36.614,-24.48100,loss,Time Stop 
2019-09-17,2019-10-07,68.41600,24.12600,-1.50,-6.89,16,1.00,0.0079,-64.736,-44.29000,loss,Time Stop 
2019-09-18,2019-10-08,64.80700,36.83000,-2.00,-4.59,16,1.00,0.0164,-43.170,-27.97700,loss,Time Stop 
2019-09-19,2019-10-09,67.79700,42.54100,-1.49,-3.60,16,1.00,0.0090,-37.252,-25.25600,loss,Time Stop 
2019-09-20,2019-10-10,65.60200,24.49500,-1.81,-6.43,16,1.00,0.0099,-62.661,-41.10700,loss,Time Stop 
2019-09-23,2019-10-11,60.22700,31.21300,-2.54,-4.98,16,1.00,0.0239,-48.174,-29.01400,loss,Time Stop 
2019-09-24,2019-10-14,55.52500,8.95100,-3.04,-7.90,16,1.00,0.0619,-83.879,-46.57400,loss,Time Stop 
2019-09-25,2019-10-15,56.21700,27.55600,-2.71,-4.65,16,1.00,0.0602,-50.983,-28.66100,loss,Time Stop 
2019-09-26,2019-10-16,57.28700,11.86600,-2.38,-6.49,16,1.00,0.0523,-79.287,-45.42100,loss,Time Stop 
2019-09-27,2019-10-17,49.24900,9.28700,-3.19,-6.21,16,1.00,0.1828,-81.143,-39.96200,loss,Time Stop 
2019-09-30,2019-10-18,42.92900,-3.76800,-3.60,-7.08,16,1.00,0.4454,-108.777,-46.69700,loss,Time Stop 
2019-10-01,2019-10-21,50.79200,10.48300,-2.44,-4.95,16,1.00,0.1494,-79.361,-40.30900,loss,Time Stop 
2019-10-02,2019-10-22,36.89100,12.87400,-3.62,-4.14,16,1.00,0.8588,-65.103,-24.01700,loss,Time Stop 
2019-10-03,2019-10-23,44.11600,24.28500,-2.62,-2.68,16,1.00,0.7230,-44.952,-19.83100,loss,Time Stop 
2019-10-04,2019-10-24,36.84600,22.03300,-3.05,-2.64,16,1.00,0.8409,-40.202,-14.81300,loss,Time Stop 
2019-10-07,2019-12-27,42.38100,20.73800,-2.34,-0.23,61,1.00,0.7379,-51.068,-21.64300,loss,Time Stop 
2019-10-08,2019-12-30,24.12600,16.91900,-3.58,-0.52,61,1.00,0.9125,-29.872,-7.20700,loss,Time Stop 
2019-10-09,2019-12-31,36.83000,20.50900,-2.31,-0.19,61,1.00,0.8121,-44.314,-16.32100,loss,Time Stop 
2019-10-10,2020-01-01,42.54100,22.79700,-1.74,-0.00,61,1.00,0.5122,-46.412,-19.74400,loss,Time Stop 
2019-10-11,2020-01-02,24.49500,28.87500,-2.90,0.44,61,1.00,0.9620,17.881,4.38000,win,Time Stop 
2019-10-14,2020-01-03,31.21300,36.06100,-2.23,0.92,61,1.00,0.9506,15.532,4.84800,win,Time Stop 
2019-10-15,2019-11-25,8.95100,14.86200,-3.44,-1.10,31,1.00,0.9984,66.037,5.91100,win,Time Stop 
2019-10-16,2019-11-26,27.55600,9.97800,-2.05,-1.34,31,1.00,0.9979,-63.790,-17.57800,loss,Time Stop 
2019-10-17,2019-11-27,11.86600,10.85500,-2.79,-1.16,31,1.00,0.9966,-8.520,-1.01100,loss,Time Stop 
2019-10-18,2019-11-28,9.28700,16.99500,-2.70,-0.72,31,1.00,0.9981,82.998,7.70800,win,Time Stop 
2019-10-21,2019-11-29,-3.76800,10.66500,-3.10,-0.97,31,1.00,0.9990,383.041,14.43300,win,Time Stop 
2019-10-22,2019-12-02,10.48300,14.33200,-2.17,-0.72,31,1.00,0.9984,36.717,3.84900,win,Time Stop 
2019-10-23,2019-12-03,12.87400,17.41600,-1.91,-0.52,31,1.00,0.9980,35.280,4.54200,win,Time Stop 
2019-10-24,2019-12-04,24.28500,15.11600,-1.28,-0.60,31,1.00,0.8783,-37.756,-9.16900,loss,Time Stop 
2019-10-25,2019-12-05,22.03300,10.58000,-1.31,-0.78,31,1.00,0.8605,-51.981,-11.45300,loss,Time Stop 
2019-10-28,2019-12-06,5.44600,14.47600,-1.96,-0.55,31,1.00,0.9181,165.810,9.03000,win,Time Stop 
