Dates,EUR 1y1y,USD 1y1y,NOK 1y1y,SEK 1y1y,JPY 1y1y,AUD 1y1y,GBP 1y1y,CHF 1y1y,NZD 1y1y,EUR 2y2y,USD 2y2y,NOK 2y2y,SEK 2y2y,JPY 2y2y,AUD 2y2y,GBP 2y2y,CHF 2y2y,NZD 2y2y,EUR 3y3y,USD 3y3y,NOK 3y3y,SEK 3y3y,JPY 3y3y,AUD 3y3y,GBP 3y3y,CHF 3y3y,NZD 3y3y,EUR 5y5y,USD 5y5y,NOK 5y5y,SEK 5y5y,JPY 5y5y,AUD 5y5y,GBP 5y5y,CHF 5y5y,NZD 5y5y,EUR 3y2y,USD 3y2y,NOK 3y2y,SEK 3y2y,JPY 3y2y,AUD 3y2y,GBP 3y2y,CHF 3y2y,NZD 3y2y,EUR 2y1y,USD 2y1y,NOK 2y1y,SEK 2y1y,JPY 2y1y,AUD 2y1y,GBP 2y1y,CHF 2y1y,NZD 2y1y,EUR 5y2y,USD 5y2y,NOK 5y2y,SEK 5y2y,JPY 5y2y,AUD 5y2y,GBP 5y2y,CHF 5y2y,NZD 5y2y,EUR 7y3y,USD 7y3y,NOK 7y3y,SEK 7y3y,JPY 7y3y,AUD 7y3y,GBP 7y3y,CHF 7y3y,NZD 7y3y,EUR 10y10y,USD 10y10y,NOK 10y10y,SEK 10y10y,JPY 10y10y,AUD 10y10y,GBP 10y10y,CHF 10y10y,NZD 10y10y,EUR 15y15y,USD 15y15y,NOK 15y15y,SEK 15y15y,JPY 15y15y,AUD 15y15y,GBP 15y15y,CHF 15y15y,NZD 15y15y,EUR 20y10y,USD 20y10y,NOK 20y10y,SEK 20y10y,JPY 20y10y,AUD 20y10y,GBP 20y10y,CHF 20y10y,NZD 20y10y
2019-01-01,,,,19.17,-5.38,199.26,95.76,-58.79,196.879,,,,65.81,-5.970000000000001,218.00000000000003,109.04,-28.2,226.444,,,,112.1,-0.75,251.03,117.43,6.529999999999999,261.711,,,,177.63,22.56,291.09,130.03,68.95,314.562,,,,95.18,-3.88,240.43,116.31,-5.41,249.384,,,,50.6,-5.99,207.8,103.86,-41.49,215.988,,,,156.43,9.06,278.04,122.76,41.13,295.732,,,,192.44,31.61,298.82,135.04,87.91,328.103,,,,218.11,85.22,309.67,142.75,113.52,354.10400000000004,,,,189.37,101.24,282.64,134.17,97.04,263.434,,,,174.93,101.89,269.52,130.09,90.71,209.129
2019-01-02,,,,16.72,-5.38,192.34,89.66,-61.12,191.549,,,,56.27,-5.970000000000001,205.81,103.01,-34.78,217.467,,,,101.77,-0.6,237.9,111.56,-0.76,250.744,,,,169.84,22.56,278.64,126.13,64.05999999999999,301.27000000000004,,,,88.46000000000001,-3.65,227.17,110.4,-15.43,238.26,,,,41.74,-6.44,196.65,97.98,-43.41,209.096,,,,143.12,9.06,265.78,117.71,38.02,282.51,,,,188.44,31.61,286.42,131.94,81.81,314.733,,,,208.05,85.22,298.24,140.15,109.04,347.382,,,,180.92,101.24,271.6,132.43,93.43,259.992,,,,168.08,101.89,259.23,128.59,87.74,205.429
2019-01-03,,,,13.78,-5.62,189.75,87.02,-61.92999999999999,195.423,,,,55.44,-5.8500000000000005,204.62,99.52,-36.35,218.449,,,,100.87,-0.5599999999999999,237.17,109.25,-2.22,251.73,,,,167.51,22.57,279.75,124.89,64.34,303.886,,,,85.61999999999999,-3.5900000000000003,226.09,106.96,-17.1,240.425,,,,41.23,-6.32,195.25,94.9,-44.47,208.118,,,,145.23,9.06,265.97,116.3,38.72,284.5,,,,182.94,31.61,288.14000000000004,130.84,81.71000000000001,317.726,,,,207.93,85.22,298.72,139.6,109.61,344.995,,,,178.92999999999998,101.24,271.25,132.41,92.9,257.557,,,,167.0,101.89,258.3,129.04,86.91,205.283
2019-01-04,,,,16.14,-6.3,204.16,92.0,-62.03999999999999,197.552,,,,55.98,-6.800000000000001,220.26,106.64,-31.91,219.418,,,,103.34,-3.06,253.9,115.39,3.24,256.59000000000003,,,,171.86999999999998,19.64,296.28000000000003,130.92,65.36,307.122,,,,88.5,-5.29,242.64,114.35,-10.47,241.662,,,,41.1,-7.07,210.04,101.58,-42.45,208.939,,,,146.15,5.64,280.97,121.38,40.78,293.015,,,,189.66,29.01,305.61,137.52,82.06,317.212,,,,212.27,75.51,312.36,145.33,112.22,347.134,,,,183.4,90.31,285.73,137.09,95.52,256.643,,,,170.5,90.94,272.95,133.03,89.23,206.056
2019-01-07,,,,16.27,-6.3,200.85,91.36,-61.22,197.935,,,,57.720000000000006,-6.84,220.21,105.05,-29.53,222.805,,,,102.42,-1.82,250.51,114.62,3.41,259.092,,,,171.08,21.67,293.58,130.84,68.67999999999999,317.201,,,,87.58,-4.73,240.03,112.29,-9.82,245.314,,,,43.38,-7.08,211.95,100.51,-40.6,215.619,,,,145.62,7.89,278.95,122.69,42.43,295.564,,,,188.73,30.91,302.41,136.45000000000002,86.53,332.709,,,,210.65,80.58,312.76,144.55,114.35,352.317,,,,183.86,96.08,285.06,137.36,97.62,261.735,,,,171.69,96.59,271.67,133.67,91.3,208.74
2019-01-08,,,,19.02,-6.35,205.23,93.56,-58.41,196.961,,,,60.77,-5.11,222.83,106.5,-27.750000000000004,225.913,,,,103.64,1.24,254.08,116.16,6.84,263.72900000000004,,,,171.53,24.56,298.55,132.22,71.25,319.87800000000004,,,,88.94999999999999,-2.56,243.31,112.55,-6.660000000000001,251.36,,,,47.760000000000005,-5.8500000000000005,214.2,103.13,-37.92,214.342,,,,145.88,11.83,283.39,124.78,39.56,299.01800000000003,,,,189.43,33.25,307.72,137.35,92.94,334.94,,,,211.96,82.94,316.74,145.6,118.61,358.987,,,,184.33,98.59,289.33,138.75,101.35,266.58,,,,171.86999999999998,99.25,275.58,135.24,93.83,210.751
2019-01-09,,,,22.12,-6.0,199.53,93.86,-59.45,197.129,,,,61.88,-5.12,217.73,106.7,-26.86,225.45,,,,104.62,1.61,249.75,114.8,5.04,263.508,,,,171.12,25.82,294.12,130.46,70.73,319.0,,,,90.4,-2.06,239.02,112.45,-7.53,250.583,,,,47.75,-6.12,208.28000000000003,103.4,-37.82,214.047,,,,146.76,12.1,279.34000000000003,122.32,43.51,298.32800000000003,,,,188.06,35.14,303.11,136.07,89.3,333.878,,,,213.78,83.46000000000001,312.57,143.99,116.44,357.884,,,,187.16,99.8,285.36,136.63,98.94,266.074,,,,173.34,100.32,272.39,132.9,90.85,210.4
2019-01-10,,,,20.15,-6.4,203.19,96.48,-59.85,194.381,,,,61.45,-6.63,220.91,109.17,-29.53,222.955,,,,102.77,-0.84,253.1,116.59,3.0700000000000003,260.621,,,,170.52,23.43,297.87,131.73,69.98,316.646,,,,89.88000000000001,-3.91,241.97000000000003,114.55,-10.83,248.41600000000005,,,,47.75,-7.739999999999999,211.65,106.5,-39.31,211.754,,,,143.16,9.24,283.66,123.64,43.7,294.936,,,,189.48,32.95,306.4,137.35,87.83999999999999,332.203,,,,210.45,81.12,316.32,145.91,117.58,356.064,,,,183.81,97.55,288.77000000000004,138.29,100.34,264.694,,,,171.04999999999998,98.63,276.31,134.47,92.83,209.545
2019-01-11,,,,16.869999999999997,-6.75,199.84,99.82,-60.8,192.723,,,,58.07,-7.24,218.25,111.64,-29.41,221.777,,,,100.59,-1.24,250.37,119.06000000000002,4.02,258.746,,,,168.65,22.3,295.38,133.73999999999998,70.48,315.311,,,,86.95,-4.49,239.55,116.98,-9.46,246.759,,,,44.49,-8.0,209.05,108.91,-40.46,210.513,,,,142.28,8.870000000000001,280.31,125.34,44.89,292.899,,,,186.95,31.31,304.5,139.54999999999998,87.89,331.368,,,,208.44,79.55,313.85,148.31,119.15,351.762,,,,180.84,95.92,286.4,140.28,100.59,262.494,,,,167.64,96.99,273.47,136.3,92.48,208.264
2019-01-14,,,,16.45,-6.75,199.41,99.97,-61.14000000000001,189.571,,,,57.23,-7.24,214.89,113.08,-29.45,218.593,,,,99.5,-1.36,247.21,121.24,3.67,255.298,,,,168.4,22.3,293.12,135.3,71.74000000000001,309.213,,,,84.82,-4.67,235.81,119.57,-10.19,243.069,,,,43.9,-7.64,205.75,109.34,-39.68,207.143,,,,142.27,8.870000000000001,277.6,127.32,44.190000000000005,289.487,,,,186.52,31.31,302.58,140.79999999999998,90.49,323.34000000000003,,,,209.39,79.55,311.53,148.98,119.72,350.683,,,,181.07,95.92,284.15,140.57999999999998,103.01,260.858,,,,167.75,96.99,271.17,136.63,96.37,206.963
