,SD0490FS 2Y1Y BLC Curncy,CDFS0201 BLC Curncy,S0141FS 2Y1Y BLC Curncy,S0514FS 2Y1Y BLC Curncy,SD0302FS 2Y1Y BLC Curncy,NDFS0201 BLC Curncy,SKFS0201 BLC Curncy,CDFS0202 BLC Curncy,S0141FS 2Y2Y BLC Curncy,S0514FS 2Y2Y BLC Curncy,SD0302FS 2Y2Y BLC Curncy,S0141FS 3Y2Y BLC Curncy,S0141FS 7Y3Y BLC Curncy,SD0490FS 5Y5Y BLC Curncy,S0141FS 5Y5Y BLC Curncy,S0514FS 5Y5Y BLC Curncy,CDFS1515 BLC Curncy,S0141FS 15Y15Y BLC Curncy,SD0302FS 15Y15Y BLC Curncy,NDFS1515 BLC Curncy,SKFS1515 BLC Curncy,SD0490FS 20Y10Y BLC Curncy,CDFS2010 BLC Curncy,S0141FS 20Y10Y BLC Curncy,S0514FS 20Y10Y BLC Curncy,SD0302FS 20Y10Y BLC Curncy,NDFS2010 BLC Curncy,SKFS2010 BLC Curncy,RV0001P 2Y BLC Curncy,RV0007P 2Y BLC Curncy,RV0006P 2Y BLC Curncy,RV0002P 2Y BLC Curncy,RV0004P 2Y BLC Curncy,RV0008P 2Y BLC Curncy,RV0005P 2Y BLC Curncy,RV0006P 3Y BLC Curncy,RV0002P 3Y BLC Curncy,RV0004P 3Y BLC Curncy,RV0008P 3Y BLC Curncy,RV0005P 3Y BLC Curncy,YM1 Comdty,RV0001P 5Y BLC Curncy,RV0007P 5Y BLC Curncy,RV0006P 5Y BLC Curncy,RV0002P 5Y BLC Curncy,RV0004P 5Y BLC Curncy,RV0008P 5Y BLC Curncy,RV0005P 5Y BLC Curncy,GTAUD5Y Govt,GTNZD5Y Govt,RV0001P 7Y BLC Curncy
,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last
2020-08-31,0.0376,0.7324,-0.051,-0.5912,0.321,0.1024,0.0891,0.8372,0.0089,-0.57159,0.3993,0.12,0.4957,0.854,0.4214,-0.13011,1.6857,0.4686,1.5296,1.5344,0.6651,0.9403,1.5549,0.4233,-0.06156,1.4702,1.5344,0.5323,0.1347,0.2545,-0.0591,-0.6644,-0.5974,-0.4469,-0.0342,-0.0777,-0.6869,-0.5843,-0.3581,0.135,99.68,0.2851,0.3682,-0.0052,-0.6415,-0.4929,-0.1639,0.5377,0.4195,0.142,0.4952
2020-09-01,0.0265,0.7137,-0.066,-0.60868,0.3006,0.0655,0.0944,0.8069,-0.018,-0.59339,0.3839,0.0872,0.4821,0.7985,0.4063,-0.1381,1.6094,0.4533,1.4659,1.5134,0.652,0.8668,1.4738,0.4107,-0.0656,1.4018,1.5134,0.51,0.1353,0.2433,-0.088,-0.687,-0.6155,-0.4523,-0.0816,-0.1068,-0.7145,-0.6062,-0.3716,0.0869,99.685,0.2694,0.3325,-0.0327,-0.668,-0.5213,-0.1807,0.4831,0.414,0.123,0.4667
2020-09-02,0.0416,0.7121,-0.0858,-0.64262,0.2873,0.0804,0.0552,0.7987,-0.0465,-0.62553,0.3662,0.0505,0.3993,0.7666,0.3295,-0.19782,1.561,0.4001,1.4264,1.5027,0.5931,0.8344,1.4157,0.3601,-0.13824,1.3538,1.5027,0.4477,0.1357,0.2408,-0.1047,-0.7116,-0.6359,-0.4665,-0.1054,-0.1254,-0.7427,-0.6396,-0.4044,0.0557,99.69,0.2663,0.3248,-0.0676,-0.7097,-0.5699,-0.2295,0.4377,0.407,0.13,0.4525
2020-09-03,0.0294,0.7158,-0.0861,-0.64406,0.2902,0.0825,0.0234,0.8019,-0.0404,-0.63423,0.3563,0.0587,0.4091,0.743,0.3339,-0.22338,1.5684,0.3719,1.4187,1.4974,0.5442,0.8169,1.4323,0.3273,-0.17943,1.3703,1.4974,0.4022,0.1303,0.243,-0.0837,-0.7236,-0.6465,-0.4722,-0.0989,-0.1069,-0.754,-0.6524,-0.4149,0.0581,99.7,0.2621,0.3227,-0.0538,-0.721,-0.5763,-0.2418,0.4399,0.391,0.124,0.4399
2020-09-04,0.0604,0.7481,-0.0604,-0.63916,0.2652,0.065,0.0289,0.8367,-0.012,-0.6227,0.3601,0.092,0.4477,0.8379,0.3724,-0.18126,1.6312,0.4042,1.4948,1.4605,0.5564,0.9449,1.4852,0.3608,-0.14005,1.4456,1.4605,0.4168,0.147,0.2525,-0.0639,-0.7139,-0.6432,-0.4664,-0.0691,-0.0861,-0.7437,-0.6313,-0.4011,0.0909,99.705,0.314,0.3636,-0.0325,-0.7043,-0.5603,-0.2163,0.4794,0.3835,0.077,0.5072
2020-09-07,0.0623,0.7468,-0.0823,-0.64327,0.2927,0.0649,0.0378,0.8351,-0.0371,-0.62246,0.3813,0.0608,0.4401,0.8278,0.3703,-0.18316,1.631,0.3899,1.4742,1.4869,0.5911,0.9392,1.4869,0.3418,-0.13046,1.398,1.4869,0.4828,,0.2532,-0.0799,-0.7125,-0.6332,-0.459,-0.0397,-0.1052,-0.7416,-0.6201,-0.3922,0.1263,99.695,,0.3646,-0.0547,-0.7011,-0.5585,-0.2083,0.5166,0.395,0.088,
2020-09-08,0.0362,0.7235,-0.1096,-0.65122,0.2852,0.0179,0.0215,0.8149,-0.0785,-0.64206,0.3789,0.0241,0.3828,0.7869,0.3155,-0.21796,1.6078,0.3296,1.413,1.4501,0.5634,0.855,1.4659,0.2849,-0.16078,1.3406,1.4501,0.4341,0.1432,0.2471,-0.123,-0.7194,-0.6424,-0.4548,-0.05,-0.15,-0.7515,-0.6295,-0.3967,0.1129,99.695,0.2839,0.3408,-0.1054,-0.717,-0.5755,-0.2203,0.5025,0.3975,0.079,0.4704
2020-09-09,0.052,0.7398,-0.0952,-0.6294,0.2754,0.0179,0.0431,0.8257,-0.0408,-0.61158,0.3727,0.0736,0.4498,0.8157,0.3793,-0.16749,1.642,0.3899,1.4661,1.45,0.5962,0.908,1.5032,0.347,-0.11988,1.4012,1.45,0.4675,0.1484,0.2476,-0.0702,-0.7059,-0.6428,-0.4522,-0.0701,-0.1033,-0.7334,-0.6236,-0.3881,0.0985,99.706,0.2984,0.353,-0.0589,-0.6906,-0.5482,-0.2071,0.4827,0.379,0.027,0.4884
2020-09-10,0.0316,0.7015,-0.1098,-0.62331,0.2708,0.0425,0.0608,0.8096,-0.0628,-0.59066,0.3654,0.0399,0.4402,0.7925,0.3777,-0.15815,1.6186,0.4009,1.448,1.4685,0.6074,0.8644,1.4819,0.3648,-0.12784,1.3759,1.4684,0.4624,0.1415,0.2388,-0.0976,-0.6803,-0.612,-0.4496,-0.0843,-0.1304,-0.7073,-0.5971,-0.3816,0.0827,99.708,0.2838,0.3357,-0.0834,-0.6597,-0.5175,-0.1998,0.464,0.3825,0.062,0.4699
