,S0302FS 6M10Y BLC Curncy,S0313FS 6M10Y BLC Curncy
2020-05-25,0.927,0.75955
2020-05-26,0.9591,0.79953
2020-05-27,0.9505,0.8564
2020-05-28,0.9431,0.84355
2020-05-29,0.9429,0.83854
2020-06-01,0.9693,0.8348
2020-06-02,0.9685,0.84419
2020-06-03,1.0558,0.88794
2020-06-04,1.1373,0.90983
2020-06-05,1.1967,1.00239
2020-06-08,1.1523,1.01625
2020-06-09,1.0905,1.00001
2020-06-10,1.0061,1.02061
2020-06-11,0.9845,0.908
2020-06-12,0.9706,0.89976
2020-06-15,0.9786,0.86247
2020-06-16,1.0049,0.89781
2020-06-17,0.9705,0.92055
2020-06-18,0.9314,0.94401
2020-06-19,0.9275,0.9741
2020-06-22,0.9445,0.94658
2020-06-23,0.9678,0.98474
2020-06-24,0.9432,1.00616
2020-06-25,0.9427,0.95109
2020-06-26,0.9217,0.96551
2020-06-29,0.9083,0.97025
2020-06-30,0.9548,0.94364
2020-07-01,0.9757,1.02669
2020-07-02,0.9304,1.01546
2020-07-03,0.921,1.00343
2020-07-06,0.9277,1.00879
2020-07-07,0.8978,0.99892
2020-07-08,0.8993,0.95077
2020-07-09,0.8627,0.94493
2020-07-10,0.8415,0.9134
2020-07-13,0.8803,0.97793
2020-07-14,0.9091,0.96415
2020-07-15,0.9002,0.98028
2020-07-16,0.8883,0.96751
2020-07-17,0.8754,0.97347
2020-07-20,0.8709,0.95858
2020-07-21,0.8548,0.95003
2020-07-22,0.8637,0.90493
2020-07-23,0.8503,0.90323
2020-07-24,0.8677,0.92499
2020-07-27,0.8909,0.88031
2020-07-28,0.8922,0.86922
2020-07-29,0.8605,0.87994
2020-07-30,0.847,0.85652
2020-07-31,0.8207,0.88888
2020-08-03,0.8514,0.89568
2020-08-04,0.7891,0.84337
2020-08-05,0.8312,0.88259
2020-08-06,0.8304,0.86527
2020-08-07,0.7992,0.87861
2020-08-10,0.8399,0.90386
2020-08-11,0.891,0.98705
2020-08-12,0.9193,1.01363
2020-08-13,0.925,1.07841
2020-08-14,0.9213,1.06058
2020-08-17,0.9039,1.05774
2020-08-18,0.8788,1.05425
2020-08-19,0.8809,1.04737
2020-08-20,0.8567,0.98871
2020-08-21,0.8622,0.9946
2020-08-24,0.8635,1.00146
2020-08-25,0.8808,1.07187
2020-08-26,0.9157,1.09832
2020-08-27,0.9074,1.10934
2020-08-28,0.995,1.12243
2020-08-31,0.9664,1.1401
2020-09-01,0.9021,1.11422
2020-09-02,0.8868,1.04338
2020-09-03,0.8843,0.99134
2020-09-04,0.9488,0.99037
2020-09-07,0.9412,1.01376
2020-09-08,0.898,0.98949
2020-09-09,0.9278,1.00673
2020-09-10,0.9051,1.03877
2020-09-11,0.8862,1.0259
2020-09-14,0.8749,1.01331
2020-09-15,0.8697,1.01206
2020-09-16,0.8837,1.00403
2020-09-17,0.8752,0.99397
2020-09-18,0.8929,1.00015
2020-09-21,0.8506,0.97778
2020-09-22,0.8678,0.98948
2020-09-23,0.8357,0.98144
2020-09-24,0.8228,0.95062
2020-09-25,0.8006,0.93775
2020-09-28,0.8128,0.9414
2020-09-29,0.8326,0.93415
2020-09-30,0.8572,0.93984
2020-10-01,0.8428,0.95914
2020-10-02,0.8556,0.94653
2020-10-05,0.9003,0.9797
