,USSW10 Curncy,EUSA10 Curncy,JYSW10 Curncy,BPSW10 Curncy,ADSW10Q Curncy,CDSW10 Curncy,SKSW10 Curncy,SFSW10  Curncy,NKSW10 Curncy,NDSWAP10 Curncy
2020-05-25,0.66,-0.1417,0.034,,0.8153,0.933,0.3575,-0.375,0.72,0.6125
2020-05-26,0.6904,-0.105,0.03187,0.4335,0.83726,0.997,0.3857,-0.335,0.7575,0.6975
2020-05-27,0.6732,-0.109,0.03025,0.41065,0.83776,0.99,0.3897,-0.335,0.81,0.7125
2020-05-28,0.6855,-0.107,0.02925,0.42281,0.82927,1.012,0.385,-0.335,0.8,0.72
2020-05-29,0.6506,-0.131,0.03999,0.397,0.82977,1.001,0.3689,-0.35,0.795,0.7325
2020-06-01,0.6531,-0.101,0.04624,0.43345,0.83501,1.002,0.3975,-0.3125,0.795,0.745
2020-06-02,0.6756,-0.092,0.05187,0.42772,0.84,1.014,0.388,-0.3175,0.8,0.75
2020-06-03,0.7375,-0.0595,0.05375,0.46094,0.89937,1.093,0.4346,-0.2725,0.84,0.835
2020-06-04,0.8174,-0.033,0.06749,0.49971,0.9515,1.1502,0.458,-0.2525,0.863,0.85
2020-06-05,0.8814,-0.011,0.08563,0.527,1.02382,1.187,0.4746,-0.205,0.95,0.865
2020-06-08,0.8594,-0.045,0.09063,0.5225,,1.142,0.4839,-0.225,0.965,0.8925
2020-06-09,0.8135,-0.0242,0.05813,0.5282,0.97095,1.1135,0.465,-0.2151,0.95,0.8625
2020-06-10,0.7277,-0.0439,0.06249,0.4568,0.94102,1.046,0.4912,-0.2225,0.967,0.7975
2020-06-11,0.6636,-0.108,0.043,0.40005,0.8587,1.0093,0.4032,-0.295,0.86,0.7875
2020-06-12,0.6965,-0.1217,0.04312,0.409,0.85521,1.019,0.3838,-0.3,0.855,0.7625
2020-06-15,0.7119,-0.1322,0.03499,0.4145,0.82302,0.993,0.3649,-0.3025,0.82,0.765
2020-06-16,0.7362,-0.119,0.04925,0.4072,0.87342,1.03,0.3763,-0.2825,0.855,0.7825
2020-06-17,0.7116,-0.1168,0.05675,0.3895,0.87642,1.0102,0.3813,-0.2875,0.875,0.7725
2020-06-18,0.6846,-0.144,0.05937,0.3997,0.82726,1.0012,0.367,-0.295,0.9,0.73
2020-06-19,0.6755,-0.147,0.05687,0.404,0.81604,1.0087,0.3614,-0.2925,0.93,0.7375
2020-06-22,0.694,-0.164,0.05625,0.38689,0.81628,1.0127,0.3428,-0.295,0.903,0.72
2020-06-23,0.7015,-0.143,0.05494,0.398,0.85097,1.027,0.3609,-0.2625,0.94,0.765
2020-06-24,0.6693,-0.159,0.05625,0.3904,0.85996,1.025,0.3506,-0.2725,0.96,0.7575
2020-06-25,0.676,-0.1677,0.05313,0.3555,0.81455,1.0059,0.3238,-0.2975,0.909,0.735
2020-06-26,0.6272,-0.1881,0.05,0.361,0.80357,0.992,0.2987,-0.305,0.923,0.7675
2020-06-29,0.6092,-0.1802,0.05225,0.347,0.82802,1.003,0.3047,-0.3025,0.925,0.735
2020-06-30,0.639,-0.175,0.06938,0.3665,0.8123,1.0197,0.3194,-0.305,0.9,0.735
2020-07-01,0.6561,-0.1361,0.07875,0.39096,0.85796,,0.3297,-0.2625,0.98,0.7675
2020-07-02,0.649,-0.1636,0.07325,0.3835,0.84398,1.0464,0.3181,-0.29,0.967,0.77
2020-07-03,0.649,-0.1589,0.06,0.3835,0.81104,1.0503,0.3219,-0.28,0.955,0.7625
2020-07-06,0.6502,-0.1604,0.06675,0.40023,0.83001,1.036,0.3211,-0.28,0.96,0.7925
2020-07-07,0.6106,-0.1585,0.06125,0.37262,0.78659,0.996,0.33,-0.27,0.95,0.77
2020-07-08,0.6375,-0.166,0.04312,0.37973,0.77486,1.046,0.3189,-0.2875,0.905,0.7625
2020-07-09,0.595,-0.1851,0.04325,0.3583,0.78109,0.974,0.305,-0.32,0.9,0.765
2020-07-10,0.6322,-0.188,0.03175,0.3495,0.73018,0.9848,0.2928,-0.34,0.87,0.74
2020-07-13,0.6015,-0.154,0.0525,0.3645,0.77884,0.9775,0.3292,-0.2775,0.93,0.765
2020-07-14,0.6039,-0.18,0.04937,0.34498,0.79956,0.994,0.312,-0.295,0.918,0.73
2020-07-15,0.6111,-0.185,0.04225,0.34644,0.78284,1.0046,0.3093,-0.305,0.933,0.73
2020-07-16,0.6,-0.196,0.03075,0.32507,0.78409,0.9722,0.295,-0.3275,0.92,0.7275
2020-07-17,0.615,-0.178,0.02999,0.345,0.77485,0.9962,0.3079,-0.3025,0.927,0.695
2020-07-20,0.5899,-0.1965,0.03813,0.332,0.7741,0.983,0.2952,-0.2925,0.912,0.6925
2020-07-21,0.5874,-0.205,0.02725,0.32006,0.74789,0.98,0.295,-0.31,0.903,0.6925
2020-07-22,0.5825,-0.2241,0.02937,0.30334,0.75962,0.977,0.2733,-0.35,0.86,0.695
2020-07-23,0.5689,-0.214,,0.31295,0.75137,0.977,0.2787,-0.3475,0.86,0.69
2020-07-24,0.5822,-0.191,,0.3312,0.75861,0.9728,0.3014,-0.325,0.88,0.69
2020-07-27,0.6066,-0.22,0.03312,0.302,0.7636,0.987,0.287,-0.35,0.835,0.6975
2020-07-28,0.5745,-0.239,0.03063,0.30411,0.7903,0.9455,0.272,-0.3675,0.825,0.6875
2020-07-29,0.568,-0.2189,0.02688,0.3119,0.75486,0.949,0.2953,-0.354,0.835,0.675
2020-07-30,0.5409,-0.255,0.02375,0.28523,0.74139,0.915,0.28,-0.38,0.813,0.6625
2020-07-31,0.5214,-0.229,0.01499,0.30225,0.72791,0.9323,0.3125,-0.369,0.845,0.625
2020-08-03,0.5483,-0.231,0.02925,0.29545,,,0.3147,-0.3325,0.85,0.64
2020-08-04,0.506,-0.263,0.01998,0.2651,0.71244,0.907,0.2745,-0.3375,0.8,0.6275
